WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
Epoch     1/   50:	average_loss = 0.29099
Epoch     2/   50:	average_loss = 0.28282
Epoch     3/   50:	average_loss = 0.27646
Epoch     4/   50:	average_loss = 0.27350
Epoch     5/   50:	average_loss = 0.27021
Epoch     6/   50:	average_loss = 0.26835
Epoch     7/   50:	average_loss = 0.26720
Epoch     8/   50:	average_loss = 0.26664
Epoch     9/   50:	average_loss = 0.26601
Epoch    10/   50:	average_loss = 0.26416
Epoch    11/   50:	average_loss = 0.26445
Epoch    12/   50:	average_loss = 0.26507
Epoch    13/   50:	average_loss = 0.26339
Epoch    14/   50:	average_loss = 0.26494
Epoch    15/   50:	average_loss = 0.26249
Epoch    16/   50:	average_loss = 0.26501
Epoch    17/   50:	average_loss = 0.26310
Epoch    18/   50:	average_loss = 0.26320
Epoch    19/   50:	average_loss = 0.26430
Epoch    20/   50:	average_loss = 0.26279
Epoch    21/   50:	average_loss = 0.26313
Epoch    22/   50:	average_loss = 0.26259
Epoch    23/   50:	average_loss = 0.26308
Epoch    24/   50:	average_loss = 0.26251
Epoch    25/   50:	average_loss = 0.26276
Epoch    26/   50:	average_loss = 0.26290
Epoch    27/   50:	average_loss = 0.26197
Epoch    28/   50:	average_loss = 0.26170
Epoch    29/   50:	average_loss = 0.26204
Epoch    30/   50:	average_loss = 0.26253
Epoch    31/   50:	average_loss = 0.26230
Epoch    32/   50:	average_loss = 0.26166
Epoch    33/   50:	average_loss = 0.26207
Epoch    34/   50:	average_loss = 0.26201
Epoch    35/   50:	average_loss = 0.26212
Epoch    36/   50:	average_loss = 0.26208
Epoch    37/   50:	average_loss = 0.26210
Epoch    38/   50:	average_loss = 0.26191
Epoch    39/   50:	average_loss = 0.26291
Epoch    40/   50:	average_loss = 0.26151
Epoch    41/   50:	average_loss = 0.26204
Epoch    42/   50:	average_loss = 0.26278
Epoch    43/   50:	average_loss = 0.26291
Epoch    44/   50:	average_loss = 0.26273
Epoch    45/   50:	average_loss = 0.26263
Epoch    46/   50:	average_loss = 0.26247
Epoch    47/   50:	average_loss = 0.26194
Epoch    48/   50:	average_loss = 0.26185
Epoch    49/   50:	average_loss = 0.26189
Epoch    50/   50:	average_loss = 0.26186
Test with 6 qubits and 64 train sets.
Train data:
(array([[1, 1, 0, 0, 0, 1],
       [1, 1, 0, 0, 0, 0],
       [1, 1, 1, 0, 0, 0],
       [0, 1, 1, 0, 1, 0],
       [0, 0, 0, 0, 1, 0],
       [0, 1, 0, 0, 0, 0],
       [1, 0, 0, 0, 0, 0],
       [0, 1, 1, 1, 1, 1],
       [0, 1, 1, 0, 0, 1],
       [1, 1, 0, 0, 1, 0],
       [1, 1, 0, 1, 0, 1],
       [0, 1, 0, 0, 1, 1],
       [0, 1, 1, 1, 1, 0],
       [0, 1, 0, 1, 1, 0],
